"RNAseqID","Mouse","year","Genotype","jobnumber","Punch","Group","Conflict","APA","method","dodgy","daytime","Slice","Date"
"100-CA1-1","15-100",2015,"WT","JA16444","CA1","homecage",NA,NA,"homogenized","allgood","norecord",1,"9/28/15"
"100-CA1-2","15-100",2015,"WT","JA16444","CA1","homecage",NA,NA,"homogenized","allgood","norecord",2,"9/28/15"
"100-CA1-3","15-100",2015,"WT","JA16444","CA1","homecage",NA,NA,"homogenized","allgood","norecord",3,"9/28/15"
"100-CA3-1","15-100",2015,"WT","JA16444","CA3","homecage",NA,NA,"homogenized","allgood","norecord",1,"9/28/15"
"100-CA3-4","15-100",2015,"WT","JA16444","CA3","homecage",NA,NA,"homogenized","allgood","norecord",4,"9/28/15"
"100-DG-2","15-100",2015,"WT","JA16444","DG","homecage",NA,NA,"homogenized","allgood","norecord",2,"9/28/15"
"100-DG-3","15-100",2015,"WT","JA16444","DG","homecage",NA,NA,"homogenized","allgood","norecord",3,"9/28/15"
"101-CA1-1","15-100",2015,"WT","JA16444","CA1","homecage",NA,NA,"dissociated","allgood","norecord",1,"9/28/15"
"101-CA1-2","15-100",2015,"WT","JA16444","CA1","homecage",NA,NA,"dissociated","allgood","norecord",2,"9/28/15"
"101-CA1-3","15-100",2015,"WT","JA16444","CA1","homecage",NA,NA,"dissociated","allgood","norecord",3,"9/28/15"
"101-CA3-1","15-100",2015,"WT","JA16444","CA3","homecage",NA,NA,"dissociated","allgood","norecord",1,"9/28/15"
"101-CA3-4","15-100",2015,"WT","JA16444","CA3","homecage",NA,NA,"dissociated","allgood","norecord",4,"9/28/15"
"101-DG-3","15-100",2015,"WT","JA16444","DG","homecage",NA,NA,"dissociated","allgood","norecord",3,"9/28/15"
"101-DG-4","15-100",2015,"WT","JA16444","DG","homecage",NA,NA,"dissociated","allgood","norecord",4,"9/28/15"
"143B-CA1-1","15-143B",2015,"WT","JA16444","CA1","control","Conflict","Yoked","homogenized","slice","norecord",1,"7/9/15"
"143B-DG-1","15-143B",2015,"WT","JA16444","DG","control","Conflict","Yoked","homogenized","slice","norecord",1,"7/9/15"
"144B-CA1-1","15-144B",2015,"WT","JA16444","CA1","control","Conflict","Yoked","homogenized","allgood","norecord",1,"7/15/15"
"144B-CA3-1","15-144B",2015,"WT","JA16444","CA3","control","Conflict","Yoked","homogenized","allgood","norecord",1,"7/15/15"
"145B-CA1-1","15-145B",2015,"WT","JA16444","CA1","control","Conflict","Yoked","homogenized","allgood","norecord",1,"7/18/15"
"145B-DG-1","15-145B",2015,"WT","JA16444","DG","control","Conflict","Yoked","homogenized","allgood","norecord",1,"7/18/15"
"146B-CA1-2","15-146B",2015,"WT","JA16444","CA1","control","Conflict","Yoked","homogenized","allgood","beforenoon",2,"7/23/15"
"146B-CA3-2","15-146B",2015,"WT","JA16444","CA3","control","Conflict","Yoked","homogenized","allgood","beforenoon",2,"7/23/15"
"146B-DG-2","15-146B",2015,"WT","JA16444","DG","control","Conflict","Yoked","homogenized","allgood","beforenoon",2,"7/23/15"
"147-CA1-4","15-147",2015,"WT","JA16444","CA1","homecage",NA,NA,"homogenized","allgood","norecord",4,"7/27/15"
"147-CA3-4","15-147",2015,"WT","JA16444","CA3","homecage",NA,NA,"homogenized","allgood","norecord",4,"7/27/15"
"147-DG-4","15-147",2015,"WT","JA16444","DG","homecage",NA,NA,"homogenized","allgood","norecord",4,"7/27/15"
"148-CA1-2","15-148",2015,"WT","JA16444","CA1","homecage",NA,NA,"homogenized","allgood","norecord",2,"7/28/15"
"148-CA3-2","15-148",2015,"WT","JA16444","CA3","homecage",NA,NA,"homogenized","allgood","norecord",2,"7/28/15"
"148-DG-2","15-148",2015,"WT","JA16444","DG","homecage",NA,NA,"homogenized","allgood","norecord",2,"7/28/15"
"148B-CA1-4","15-148B",2015,"WT","JA16444","CA1","control","Conflict","Yoked","homogenized","allgood","norecord",4,"7/30/15"
"148B-CA3-4","15-148B",2015,"WT","JA16444","CA3","control","Conflict","Yoked","homogenized","allgood","norecord",4,"7/30/15"
"148B-DG-4","15-148B",2015,"WT","JA16444","DG","control","Conflict","Yoked","homogenized","allgood","norecord",4,"7/30/15"
