"ID","Treatment","TrainSequence.y","TrainSessionCombo.y","TimeTarget","NumShock.y","pTimeTarget"
"15143D","unavoidable","train-train","Hab",95.336,52,0.158893333333333
"15143D","unavoidable","train-train","T1",92.534,10,0.154223333333333
"15143D","unavoidable","train-train","T2",54.271,3,0.0904516666666667
"15143D","unavoidable","train-train","T3",146.434,1,0.244056666666667
"15143D","unavoidable","train-train","T4_C1",140.201,0,0.233668333333333
"15143D","unavoidable","train-train","T5_C2",85.102,1,0.141836666666667
"15143D","unavoidable","train-train","T6_C3",103.236,0,0.17206
"15144D","unavoidable","train-train","Hab",135.666,64,0.22611
"15144D","unavoidable","train-train","T1",198.165,9,0.330275
"15144D","unavoidable","train-train","T2",156.436,3,0.260726666666667
"15144D","unavoidable","train-train","T3",103.066,2,0.171776666666667
"15144D","unavoidable","train-train","T4_C1",125.6,3,0.209333333333333
"15144D","unavoidable","train-train","T5_C2",113.267,0,0.188778333333333
"15144D","unavoidable","train-train","T6_C3",120.931,1,0.201551666666667
"15146D","unavoidable","train-train","Hab",98.338,58,0.163896666666667
"15146D","unavoidable","train-train","T1",89.267,5,0.148778333333333
"15146D","unavoidable","train-train","T2",70.431,1,0.117385
"15146D","unavoidable","train-train","T3",99.1,1,0.165166666666667
"15146D","unavoidable","train-train","T4_C1",54.497,13,0.0908283333333333
"15146D","unavoidable","train-train","T5_C2",85.434,4,0.14239
"15146D","unavoidable","train-train","T6_C3",120.901,8,0.201501666666667
"15147D","unavoidable","train-train","Hab",109.605,49,0.182675
"15147D","unavoidable","train-train","T1",116.764,4,0.194606666666667
"15147D","unavoidable","train-train","T2",78.605,2,0.131008333333333
"15147D","unavoidable","train-train","T3",109.592,1,0.182653333333333
"15147D","unavoidable","train-train","T4_C1",93.932,2,0.156553333333333
"15147D","unavoidable","train-train","T5_C2",103.302,1,0.17217
"15147D","unavoidable","train-train","T6_C3",97.565,0,0.162608333333333
"15143C","avoidable","train-train","Hab",96.04,52,0.160066666666667
"15143C","avoidable","train-train","T1",9.198,10,0.01533
"15143C","avoidable","train-train","T2",2.499,3,0.004165
"15143C","avoidable","train-train","T3",0.733,1,0.00122166666666667
"15143C","avoidable","train-train","T4_C1",0,0,0
"15143C","avoidable","train-train","T5_C2",1.233,1,0.002055
"15143C","avoidable","train-train","T6_C3",0,0,0
"15144C","avoidable","train-train","Hab",115.464,64,0.19244
"15144C","avoidable","train-train","T1",8.767,9,0.0146116666666667
"15144C","avoidable","train-train","T2",2.965,3,0.00494166666666667
"15144C","avoidable","train-train","T3",1.4,2,0.00233333333333333
"15144C","avoidable","train-train","T4_C1",4.601,3,0.00766833333333333
"15144C","avoidable","train-train","T5_C2",0,0,0
"15144C","avoidable","train-train","T6_C3",0.667,1,0.00111166666666667
"15146C","avoidable","train-train","Hab",101.073,58,0.168455
"15146C","avoidable","train-train","T1",4.668,5,0.00778
"15146C","avoidable","train-train","T2",0.767,1,0.00127833333333333
"15146C","avoidable","train-train","T3",0.6,1,0.001
"15146C","avoidable","train-train","T4_C1",10.632,13,0.01772
"15146C","avoidable","train-train","T5_C2",3.633,4,0.006055
"15146C","avoidable","train-train","T6_C3",7.833,8,0.013055
"15147C","avoidable","train-train","Hab",88.002,49,0.14667
"15147C","avoidable","train-train","T1",3.167,4,0.00527833333333333
"15147C","avoidable","train-train","T2",1.267,2,0.00211166666666667
"15147C","avoidable","train-train","T3",1.067,1,0.00177833333333333
"15147C","avoidable","train-train","T4_C1",1.4,2,0.00233333333333333
"15147C","avoidable","train-train","T5_C2",0.866,1,0.00144333333333333
"15147C","avoidable","train-train","T6_C3",0,0,0
