"Mouse","Year","Group","Punch","RNAseqID"
"15-145B","Summer2015","yoked","CA1","145B-CA1-1"
"15-145B","Summer2015","yoked","CA3","145B-CA3-1"
"15-145B","Summer2015","yoked","DG","145B-DG-1"
"15-146B","Summer2015","yoked","CA3","146B-CA3-2"
"15-146B","Summer2015","yoked","CA1","146B-CA1-2"
"15-146B","Summer2015","yoked","DG","146B-DG-2"
"15-146D","Summer2015","yoked","CA3","146D-CA3-3"
"15-146D","Summer2015","yoked","CA1","146D-CA1-3"
"15-146D","Summer2015","yoked","DG","146D-DG-3"
"15-147","Summer2015","homecage","CA1","147-CA1-4"
"15-147","Summer2015","homecage","DG","147-DG-4"
"15-147","Summer2015","homecage","CA3","147-CA3-4"
"15-147D","Summer2015","yoked","CA3","147D-CA3-1"
"15-147D","Summer2015","yoked","DG","147D-DG-1"
"15-147D","Summer2015","yoked","CA1","147D-CA1-1"
"15-148","Summer2015","homecage","CA3","148-CA3-2"
"15-148","Summer2015","homecage","CA1","148-CA1-2"
"15-148","Summer2015","homecage","DG","148-DG-2"
"15-148B","Summer2015","yoked","CA3","148B-CA3-4"
"15-148B","Summer2015","yoked","CA1","148B-CA1-4"
"15-148B","Summer2015","yoked","DG","148B-DG-4"
