"RNAseqID","Mouse","year","Genotype","Subfield","jobnumber","Group","APA","Conflict","APA_Conflict","Treatment"
"142C_CA1","15-142C",2015,"WT","CA1","JA16268","consistent","Trained","NoConflict","Trained_NoConflict","trained"
"142C_DG","15-142C",2015,"WT","DG","JA16268","consistent","Trained","NoConflict","Trained_NoConflict","trained"
"143C_CA1","15-143C",2015,"WT","CA1","JA16268","consistent","Trained","NoConflict","Trained_NoConflict","trained"
"143C_DG","15-143C",2015,"WT","DG","JA16268","consistent","Trained","NoConflict","Trained_NoConflict","trained"
"143C-CA1-1","15-143C",2015,"WT","CA1","JA16444","consistent","Trained","NoConflict","Trained_NoConflict","trained"
"143D-CA1-3","15-143D",2015,"WT","CA1","JA16444","control","Yoked","NoConflict","Yoked_NoConflict","yoked"
"143D-DG-3","15-143D",2015,"WT","DG","JA16444","control","Yoked","NoConflict","Yoked_NoConflict","yoked"
"144C-CA1-2","15-144C",2015,"WT","CA1","JA16444","consistent","Trained","NoConflict","Trained_NoConflict","trained"
"144C-CA3-2","15-144C",2015,"WT","CA3","JA16444","consistent","Trained","NoConflict","Trained_NoConflict","trained"
"144C-DG-2","15-144C",2015,"WT","DG","JA16444","consistent","Trained","NoConflict","Trained_NoConflict","trained"
"144D-CA3-2","15-144D",2015,"WT","CA3","JA16444","control","Yoked","NoConflict","Yoked_NoConflict","yoked"
"144D-DG-2","15-144D",2015,"WT","DG","JA16444","control","Yoked","NoConflict","Yoked_NoConflict","yoked"
"146C-CA1-4","15-146C",2015,"WT","CA1","JA16444","consistent","Trained","NoConflict","Trained_NoConflict","trained"
"146C-DG-4","15-146C",2015,"WT","DG","JA16444","consistent","Trained","NoConflict","Trained_NoConflict","trained"
"146D-CA1-3","15-146D",2015,"WT","CA1","JA16444","control","Yoked","NoConflict","Yoked_NoConflict","yoked"
"146D-CA3-3","15-146D",2015,"WT","CA3","JA16444","control","Yoked","NoConflict","Yoked_NoConflict","yoked"
"146D-DG-3","15-146D",2015,"WT","DG","JA16444","control","Yoked","NoConflict","Yoked_NoConflict","yoked"
"147C-CA1-3","15-147C",2015,"WT","CA1","JA16444","consistent","Trained","NoConflict","Trained_NoConflict","trained"
"147C-CA3-3","15-147C",2015,"WT","CA3","JA16444","consistent","Trained","NoConflict","Trained_NoConflict","trained"
"147C-DG-3","15-147C",2015,"WT","DG","JA16444","consistent","Trained","NoConflict","Trained_NoConflict","trained"
"147D-CA3-1","15-147D",2015,"WT","CA3","JA16444","control","Yoked","NoConflict","Yoked_NoConflict","yoked"
"147D-DG-1","15-147D",2015,"WT","DG","JA16444","control","Yoked","NoConflict","Yoked_NoConflict","yoked"
